Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
76,0,394.369,94.3593,-372.584,272.361,104.027,-369.147,466.836,76.7989,-394.304,325.287,-7.05937,-322.248,534.468,-65.2648,-408.864,515.388,-116.383,-356.843
77,0,394.401,94.3534,-372.578,272.364,104.039,-369.128,466.859,76.7906,-394.324,325.29,-7.08344,-322.252,534.46,-65.2612,-408.882,515.369,-116.372,-356.833
78,0,394.409,94.3158,-372.651,272.406,104.039,-369.192,466.869,76.7594,-394.342,325.322,-7.04898,-322.213,534.489,-65.2649,-408.899,515.39,-116.348,-356.815
79,0,394.418,94.3038,-372.68,272.403,104.029,-369.162,466.882,76.7713,-394.319,325.314,-7.0763,-322.264,534.482,-65.2779,-408.92,515.42,-116.395,-356.89
80,0,394.387,94.3104,-372.66,272.385,104.065,-369.144,466.887,76.7748,-394.304,325.298,-7.04262,-322.248,534.488,-65.2618,-408.893,515.393,-116.388,-356.875
81,0,394.381,94.3345,-372.623,272.361,104.045,-369.136,466.85,76.8177,-394.281,325.304,-7.06688,-322.235,534.475,-65.2539,-408.854,515.387,-116.359,-356.765
82,0,394.36,94.3313,-372.632,272.38,104.035,-369.165,466.84,76.8,-394.273,325.288,-7.0634,-322.185,534.49,-65.2534,-408.879,515.371,-116.359,-356.793
83,0,394.401,94.3271,-372.656,272.38,104.071,-369.107,466.902,76.7951,-394.341,325.344,-7.04682,-322.181,534.49,-65.2563,-408.849,515.402,-116.377,-356.826
84,0,394.42,94.3415,-372.662,272.385,104.047,-369.154,466.937,76.7792,-394.345,325.344,-7.0327,-322.185,534.5,-65.2737,-408.88,515.405,-116.385,-356.847
85,0,394.418,94.3284,-372.651,272.394,104.055,-369.168,466.851,76.7958,-394.217,325.344,-7.05215,-322.206,534.508,-65.2765,-408.88,515.424,-116.373,-356.823
86,0,394.399,94.3173,-372.663,272.385,104.047,-369.153,466.869,76.8056,-394.294,325.318,-7.06693,-322.217,534.491,-65.2647,-408.915,515.39,-116.394,-356.864
87,0,394.389,94.2918,-372.639,272.371,104.082,-369.117,466.901,76.79,-394.325,325.304,-7.06424,-322.222,534.469,-65.2641,-408.874,515.386,-116.407,-356.851
88,0,394.368,94.3665,-372.589,272.372,104.086,-369.086,466.856,76.838,-394.293,325.296,-7.02524,-322.208,534.47,-65.2292,-408.843,515.374,-116.375,-356.799
89,0,394.388,94.3736,-372.582,272.378,104.072,-369.104,466.892,76.8193,-394.308,325.329,-7.0105,-322.163,534.471,-65.2463,-408.849,515.366,-116.373,-356.802
90,0,394.381,94.3414,-372.643,272.367,104.095,-369.128,466.873,76.8018,-394.315,325.34,-7.02814,-322.217,534.501,-65.2725,-408.879,515.388,-116.354,-356.795
91,0,394.375,94.3295,-372.704,272.381,104.107,-369.122,466.874,76.8022,-394.328,325.358,-7.01255,-322.187,534.49,-65.2517,-408.898,515.406,-116.373,-356.848
92,0,394.371,94.3527,-372.658,272.356,104.114,-369.126,466.877,76.7741,-394.315,325.329,-7.02876,-322.19,534.488,-65.2466,-408.867,515.386,-116.391,-356.843
93,0,394.396,94.3544,-372.624,272.362,104.088,-369.126,466.907,76.7867,-394.369,325.35,-7.01101,-322.157,534.48,-65.2591,-408.88,515.397,-116.411,-356.853
94,0,394.375,94.3697,-372.558,272.348,104.119,-369.112,466.875,76.8251,-394.337,325.333,-6.99246,-322.116,534.474,-65.2638,-408.891,515.376,-116.363,-356.759
95,0,394.393,94.3364,-372.663,272.35,104.138,-369.1,466.874,76.826,-394.309,325.343,-6.9642,-322.127,534.463,-65.2394,-408.87,515.379,-116.371,-356.807
96,0,394.398,94.3784,-372.635,272.355,104.141,-369.129,466.849,76.838,-394.221,325.368,-6.94922,-322.103,534.492,-65.2487,-408.888,515.381,-116.339,-356.769
97,0,394.438,94.3581,-372.626,272.382,104.122,-369.135,466.887,76.7704,-394.384,325.393,-6.93788,-322.136,534.502,-65.2508,-408.885,515.41,-116.416,-356.883
98,0,394.4,94.3522,-372.685,272.338,104.149,-369.124,466.897,76.768,-394.323,325.36,-6.96431,-322.13,534.464,-65.2356,-408.892,515.39,-116.363,-356.835
99,0,394.388,94.3538,-372.656,272.358,104.162,-369.111,466.901,76.786,-394.397,325.351,-6.94035,-322.116,534.47,-65.2755,-408.913,515.417,-116.383,-356.811
100,0,394.374,94.3666,-372.619,272.328,104.158,-369.102,466.886,76.7936,-394.356,325.336,-6.9416,-322.073,534.459,-65.2382,-408.865,515.378,-116.358,-356.786
101,0,394.366,94.3726,-372.604,272.34,104.175,-369.113,466.846,76.8649,-394.246,325.331,-6.92191,-322.061,534.468,-65.2237,-408.834,515.361,-116.341,-356.749
102,0,394.4,94.3841,-372.64,272.351,104.187,-369.1,466.898,76.8202,-394.314,325.348,-6.90608,-322.08,534.479,-65.2584,-408.879,515.394,-116.351,-356.782
103,0,394.411,94.386,-372.642,272.377,104.212,-369.088,466.823,76.8212,-394.298,325.383,-6.90029,-322.055,534.504,-65.2112,-408.861,515.384,-116.354,-356.782
104,0,394.418,94.3778,-372.661,272.382,104.198,-369.129,466.853,76.8122,-394.298,325.399,-6.88816,-322.031,534.492,-65.2692,-408.888,515.402,-116.365,-356.791
105,0,394.41,94.3811,-372.595,272.365,104.217,-369.093,466.879,76.8459,-394.304,325.376,-6.88753,-322.026,534.493,-65.2489,-408.885,515.389,-116.378,-356.805
106,0,394.393,94.3682,-372.663,272.33,104.222,-369.079,466.85,76.8417,-394.284,325.357,-6.89803,-322.037,534.47,-65.2269,-408.836,515.393,-116.354,-356.768
107,0,394.366,94.3934,-372.59,272.362,104.193,-369.086,466.832,76.8186,-394.293,325.366,-6.88144,-322.013,534.446,-65.2487,-408.874,515.375,-116.372,-356.769
108,0,394.406,94.3741,-372.578,272.368,104.231,-369.055,466.849,76.8426,-394.293,325.372,-6.87477,-321.998,534.476,-65.2328,-408.885,515.387,-116.366,-356.762
109,0,394.417,94.3943,-372.675,272.375,104.264,-369.082,466.862,76.861,-394.253,325.415,-6.84601,-322.009,534.488,-65.2466,-408.868,515.403,-116.362,-356.788
110,0,394.438,94.4201,-372.61,272.391,104.238,-369.048,466.912,76.8074,-394.366,325.423,-6.82389,-321.955,534.493,-65.2687,-408.896,515.409,-116.371,-356.823
111,0,394.427,94.3682,-372.653,272.39,104.191,-369.074,466.883,76.8232,-394.283,325.418,-6.87434,-321.978,534.502,-65.2535,-408.888,515.42,-116.357,-356.747
112,0,394.417,94.3791,-372.612,272.37,104.172,-369.069,466.833,76.8196,-394.265,325.383,-6.91235,-322.021,534.499,-65.2509,-408.871,515.418,-116.353,-356.787
113,0,394.399,94.3425,-372.633,272.378,104.148,-369.083,466.831,76.8455,-394.277,325.367,-6.94031,-322.065,534.473,-65.2287,-408.84,515.369,-116.355,-356.751
114,0,394.369,94.3821,-372.64,272.383,104.119,-369.124,466.85,76.7895,-394.318,325.343,-6.95471,-322.09,534.477,-65.2728,-408.857,515.383,-116.342,-356.771
115,0,394.396,94.3743,-372.641,272.385,104.136,-369.109,466.84,76.7957,-394.343,325.35,-6.97049,-322.153,534.489,-65.2456,-408.881,515.4,-116.39,-356.858
116,0,394.406,94.3596,-372.633,272.396,104.131,-369.115,466.853,76.788,-394.358,325.366,-6.9482,-322.102,534.477,-65.2646,-408.923,515.392,-116.344,-356.813
117,0,394.398,94.3517,-372.621,272.391,104.079,-369.135,466.851,76.8137,-394.3,325.37,-6.95653,-322.099,534.494,-65.2502,-408.886,515.38,-116.347,-356.784
118,0,394.392,94.3446,-372.628,272.372,104.128,-369.075,466.866,76.8047,-394.32,325.337,-6.9724,-322.103,534.46,-65.2388,-408.848,515.384,-116.319,-356.768
119,0,394.384,94.3545,-372.576,272.376,104.102,-369.071,466.902,76.7862,-394.403,325.324,-6.97642,-322.101,534.473,-65.2262,-408.839,515.37,-116.324,-356.744
120,0,394.386,94.3465,-372.577,272.384,104.109,-369.075,466.834,76.8192,-394.276,325.32,-7.00487,-322.153,534.493,-65.2403,-408.84,515.42,-116.357,-356.794
121,0,394.425,94.3199,-372.661,272.414,104.062,-369.146,466.848,76.8212,-394.306,325.371,-7.01629,-322.161,534.502,-65.2729,-408.88,515.385,-116.354,-356.811
122,0,394.395,94.3619,-372.676,272.392,104.079,-369.135,466.901,76.7898,-394.356,325.369,-7.01821,-322.194,534.488,-65.2724,-408.907,515.406,-116.365,-356.804
123,0,394.421,94.3434,-372.62,272.389,104.079,-369.12,466.907,76.7852,-394.356,325.348,-7.04078,-322.246,534.486,-65.2425,-408.862,515.412,-116.366,-356.85
124,0,394.366,94.3691,-372.621,272.382,104.071,-369.121,466.875,76.8077,-394.343,325.316,-7.03752,-322.197,534.487,-65.2578,-408.849,515.383,-116.399,-356.805
125,0,394.364,94.3364,-372.608,272.382,104.08,-369.1,466.883,76.8457,-394.33,325.287,-7.02355,-322.179,534.47,-65.2213,-408.844,515.387,-116.366,-356.81
126,0,394.386,94.3779,-372.606,272.37,104.097,-369.069,466.899,76.8172,-394.364,325.302,-7.00759,-322.162,534.477,-65.2293,-408.856,515.377,-116.351,-356.755
127,0,394.396,94.3634,-372.597,272.402,104.076,-369.109,466.89,76.7452,-394.411,325.346,-7.01706,-322.176,534.499,-65.2459,-408.834,515.429,-116.357,-356.813
128,0,394.441,94.3084,-372.686,272.408,104.066,-369.128,466.909,76.7873,-394.344,325.343,-7.02556,-322.216,534.499,-65.2552,-408.863,515.424,-116.397,-356.846
129,0,394.392,94.3078,-372.676,272.388,104.078,-369.12,466.911,76.8067,-394.348,325.33,-7.01387,-322.185,534.487,-65.2461,-408.864,515.388,-116.406,-356.907
130,0,394.382,94.3317,-372.657,272.379,104.071,-369.103,466.873,76.8024,-394.317,325.312,-7.04941,-322.218,534.469,-65.2714,-408.924,515.38,-116.372,-356.829
