Trajectories
100
,,2-19-16:hip_center,,,2-19-16:hip_top,,,2-19-16:hip_bottom,,,2-19-16:knee,,,2-19-16:heel,,,2-19-16:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
95,0,282.138,262.354,6.3051,178.611,324.386,27.5913,361.06,211.833,-49.5896,255.077,132.465,19.5963,354.504,131.399,-44.9327,326.549,51.5919,-29.8902
96,0,285.393,263.585,6.2395,181.611,325.57,27.0029,364.542,213.102,-49.0848,258.611,133.169,19.195,358.538,132.42,-44.176,332.833,51.6338,-29.6757
97,0,288.364,265.156,6.33829,184.346,326.807,26.3815,367.715,214.672,-48.3672,261.667,134.494,19.1229,362.139,133.586,-43.2947,339,51.6268,-29.4287
98,0,290.978,266.924,6.28023,186.551,328.122,25.6802,370.418,216.563,-47.4827,264.355,136.364,19.4298,365.429,134.793,-42.486,344.885,51.6443,-29.0257
99,0,292.577,268.967,6.1712,188.051,329.701,24.8406,372.869,218.863,-46.396,266.706,138.261,19.9824,368.161,136.062,-41.5128,350.114,51.641,-28.5012
100,0,287.496,273.167,8.28796,185.334,329.247,24.3637,372.062,223.686,-45.908,267.62,141.587,21.1167,370.831,139.152,-37.6153,354.646,51.856,-25.6516
101,0,281.492,276.04,8.8496,184.882,331.626,23.5704,367.481,231.024,-44.0996,265.681,145.852,24.6839,372.29,143.53,-33.6245,358.101,53.612,-21.6591
102,0,282.686,279.436,8.0277,183.825,335.372,22.5125,366.103,234.921,-43.7396,265.736,149.769,28.3164,371.615,145.141,-31.3911,363.45,53.2715,-22.147
103,0,282.15,284.4,7.40239,181.385,339.947,22.1328,365.177,237.491,-42.0009,264.845,153.104,29.6328,369.966,147.065,-29.5591,369.675,53.0221,-22.9745
104,0,277.703,286.762,7.71231,177.951,342.914,22.4281,362.075,239.883,-39.8566,261.277,156.477,31.3195,365.277,151.341,-25.0722,372.048,54.894,-21.1917
105,0,273.381,287.513,8.26442,174.561,343.875,22.2387,358.737,242.341,-37.8457,254.397,160.776,34.8315,359.076,160.421,-18.992,369.051,59.7036,-17.0518
106,0,269.287,288.633,9.14152,170.605,344.005,22.3224,355.089,247.986,-35.7119,246.848,165.777,37.8529,353.351,171.035,-12.3313,358.352,66.5808,-9.79231
107,0,264.525,290.392,10.3965,165.906,344.714,23.0112,350.405,255.624,-34.1521,241.257,170.434,40.8419,346.546,179.774,-3.92066,337.19,73.4435,-1.62938
108,0,260.165,292.766,11.9551,160.795,346.534,23.8562,344.904,256.206,-32.7553,235.464,174.822,42.5478,337.116,175.965,3.1047,301.09,72.562,10.5049
109,0,256.276,294.519,14.1792,155.259,349.135,24.5268,339.613,249.442,-30.0565,225.346,176.935,43.2273,323.557,161.461,5.7569,256.981,77.4937,23.8824
110,0,252.042,295.172,16.8815,148.276,353.431,19.7121,333.037,240.655,-27.1443,211.702,176.565,43.0835,303.029,139.254,4.44966,218.063,83.4642,35.3458
111,0,246.141,295.372,19.6841,140.486,356.023,19.0175,324.352,234.206,-24.5206,196.842,175.315,41.7995,273.942,113.851,0.572807,182.008,85.0108,40.2928
112,0,238.381,295.609,22.5091,131.635,358.082,17.6024,314.608,230.671,-21.7305,182.417,174.443,38.7354,236.106,90.5484,-4.87416,144.171,82.0864,39.0389
113,0,228.594,295.932,24.5947,121.911,359.911,15.8848,304.378,229.078,-18.3943,167.197,174.562,33.3954,195.508,72.5648,-10.9208,104.868,72.8936,34.1495
114,0,216.751,295.673,26.4848,111.402,360.764,14.5861,292.785,227.952,-14.476,151.067,174.544,29.3735,160.061,60.8839,-16.6908,68.15,56.1795,26.0918
115,0,203.61,294.103,29.1613,100.114,359.961,14.7625,280.414,225.892,-10.349,134.414,172.102,27.4779,134.84,53.4001,-22.9909,40.1188,37.3303,13.3107
116,0,190.478,290.646,32.7607,88.2945,357.394,16.7444,269.667,222.698,-6.95723,120.986,167.902,25.5495,121.529,48.4745,-32.7086,31.594,29.8832,-1.77759
117,0,179.05,285.285,36.5686,76.7753,351.872,20.5797,261.672,219.439,-4.30818,112.168,161.35,22.7205,121.173,44.4381,-44.008,30.3791,36.1247,-17.0843
118,0,169.667,277.693,40.4182,66.7242,342.797,28.5383,255.584,215.623,-3.26522,108.502,151.129,18.9584,128.007,41.2183,-51.3107,38.7894,34.8363,-18.3601
119,0,163.846,270.221,44.6339,57.7643,332.638,34.0452,251.006,211.5,-3.82212,107.267,143.356,17.7858,133.968,42.3351,-52.104,44.9137,35.5504,-18.8952
120,0,160.251,264.762,47.441,50.7056,323.341,39.3558,247.317,209.869,-3.83703,105.196,140.707,18.3659,140.089,44.7315,-50.8393,52.5049,35.33,-18.719
121,0,155.558,262.507,49.3207,44.2357,317.01,43.031,242.979,211.992,-2.62497,102.631,138.893,19.1146,146.323,47.3332,-48.8625,60.1204,35.4073,-18.6312
122,0,149.411,262.09,50.7768,37.0821,313.484,45.4325,237.807,214.76,-0.810714,100.521,137.188,19.2736,151.807,50.3982,-47.5201,67.2058,35.5397,-18.7921
123,0,142.656,262.236,52.0789,29.9467,311.948,47.5067,232.618,217.172,1.02077,98.6158,135.871,19.7078,157.021,54.1506,-46.074,73.6221,36.0992,-18.8632
124,0,136.563,262.64,53.2276,23.5548,311.346,49.4853,227.63,218.769,2.29304,96.5941,135.079,20.8024,161.978,58.3517,-44.6605,79.9395,36.6176,-18.8164
125,0,131.403,262.544,54.0373,17.9832,311.011,51.7699,222.945,219.575,2.76947,94.5985,134.421,22.3568,166.647,62.8985,-43.2414,86.0024,36.9988,-18.7233
126,0,126.369,262.139,54.5532,12.5319,310.554,53.511,218.255,219.992,2.84169,92.3796,133.573,24.3353,170.778,68.1165,-41.1749,91.8282,37.6494,-18.558
127,0,120.502,261.546,54.8609,6.66754,310.038,54.9421,212.857,220.083,2.96664,89.1318,132.184,25.7398,174.715,73.5536,-39.534,97.626,38.5891,-18.437
