

Trajectories
100
,,two_spineMJ:spine_top,,,two_spineMJ:spine_bottom,,,two_spineMJ:hip_top,,,two_spineMJ:hip_bottom,,,two_spineMJ:hip_middle,,,two_spineMJ:knee,,,two_spineMJ:heel,,,two_spineMJ:foot_mid,,,two_spineMJ:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
48,0,567.566,134.155,61.4732,671.687,91.6447,39.9019,491.347,104.491,121.291,667.243,45.9048,87.7435,611.087,62.1643,115.05,516.154,-62.6862,144.625,700.714,-152.358,85.5842,706.345,-226.906,102.404,717.801,-305.968,102.217
49,0,567.569,134.141,61.4727,671.697,91.6535,39.9239,491.347,104.494,121.296,667.243,45.9051,87.7504,611.104,62.1624,115.073,516.158,-62.6918,144.627,700.732,-152.381,85.5255,706.359,-226.938,102.389,717.824,-305.978,102.163
50,0,567.563,134.111,61.4538,671.672,91.6257,39.8673,491.336,104.433,121.234,667.245,45.9032,87.6943,611.108,62.1605,115.024,516.155,-62.7193,144.557,700.732,-152.404,85.5142,706.368,-226.936,102.371,717.855,-306.01,102.145
51,0,567.558,134.091,61.458,671.671,91.6095,39.8574,491.311,104.391,121.261,667.243,45.9051,87.7504,611.084,62.1447,115.037,516.162,-62.762,144.526,700.773,-152.379,85.5586,706.421,-226.918,102.413,717.873,-305.969,102.247
52,0,567.521,134.077,61.4793,671.632,91.6275,39.9198,491.275,104.304,121.254,667.208,45.8913,87.7304,611.082,62.115,115.066,516.162,-62.8015,144.564,700.792,-152.356,85.5645,706.487,-226.901,102.409,717.946,-305.969,102.18
53,0,567.468,134.032,61.4968,671.606,91.632,39.9272,491.22,104.209,121.371,667.186,45.8996,87.7883,611.023,62.09,115.081,516.149,-62.8646,144.548,700.835,-152.35,85.5577,706.522,-226.91,102.34,718.037,-305.94,102.183
54,0,567.458,134.019,61.507,671.548,91.5945,39.9491,491.176,104.129,121.394,667.17,45.8725,87.79,610.968,62.0529,115.09,516.121,-62.8859,144.559,700.846,-152.31,85.5307,706.599,-226.886,102.371,718.112,-305.919,102.154
55,0,567.399,133.986,61.547,671.527,91.5962,39.8971,491.128,104.089,121.4,667.152,45.9055,87.8327,610.946,62.0391,115.078,516.122,-62.9422,144.529,700.881,-152.304,85.5259,706.632,-226.883,102.309,718.194,-305.94,102.062
56,0,567.414,133.935,61.5043,671.529,91.5919,39.9279,491.117,104.012,121.339,667.152,45.9053,87.8291,610.964,62.0334,115.078,516.122,-62.963,144.549,700.905,-152.309,85.5342,706.645,-226.86,102.368,718.25,-305.941,102.095
57,0,567.417,133.938,61.5084,671.534,91.5559,39.9055,491.132,103.955,121.376,667.187,45.8451,87.765,610.978,62.0004,115.139,516.153,-63.0031,144.529,700.943,-152.327,85.5301,706.682,-226.874,102.404,718.279,-305.971,102.077
58,0,567.437,133.881,61.5012,671.56,91.5611,39.9573,491.142,103.926,121.384,667.187,45.8451,87.765,610.992,61.9762,115.126,516.157,-63.0436,144.503,700.96,-152.329,85.5527,706.709,-226.899,102.378,718.299,-305.944,102.068
59,0,567.42,133.889,61.5096,671.543,91.5759,39.9697,491.127,103.931,121.407,667.187,45.8451,87.765,610.978,62.0018,115.138,516.162,-63.0437,144.474,700.959,-152.287,85.5154,706.741,-226.864,102.372,718.336,-305.972,102.011
60,0,567.418,133.911,61.4857,671.549,91.5774,39.9424,491.116,103.927,121.391,667.191,45.865,87.7757,610.942,61.9872,115.07,516.161,-63.0433,144.476,700.967,-152.281,85.5326,706.748,-226.856,102.316,718.369,-305.941,102.03
61,0,567.389,133.895,61.5098,671.549,91.5755,39.9401,491.101,103.934,121.434,667.17,45.8725,87.79,610.96,61.985,115.093,516.141,-63.0652,144.473,700.967,-152.281,85.5326,706.745,-226.86,102.39,718.348,-305.928,102.09
62,0,567.407,133.892,61.4856,671.549,91.5711,39.939,491.117,103.925,121.409,667.167,45.8524,87.7759,610.979,61.9998,115.09,516.168,-63.036,144.523,700.963,-152.284,85.5948,706.745,-226.86,102.375,718.354,-305.924,102.136
63,0,567.417,133.916,61.5267,671.563,91.5949,39.9736,491.106,103.927,121.425,667.167,45.8523,87.7724,610.979,62,115.09,516.174,-63.0407,144.523,700.963,-152.298,85.5866,706.747,-226.86,102.404,718.349,-305.938,102.161
64,0,567.421,133.892,61.5099,671.563,91.5929,39.9726,491.148,103.948,121.453,667.187,45.8449,87.7615,610.979,62.0008,115.09,516.19,-63.019,144.554,701.001,-152.308,85.5819,706.734,-226.87,102.443,718.354,-305.938,102.126
65,0,567.418,133.907,61.4892,671.572,91.6175,40.0009,491.167,103.915,121.426,667.207,45.8821,87.8248,610.999,62.0142,115.103,516.209,-63.0483,144.517,701.022,-152.304,85.5175,706.745,-226.864,102.333,718.376,-305.936,102.038
66,0,567.419,133.935,61.536,671.59,91.6086,39.9961,491.145,103.921,121.413,667.208,45.8819,87.8213,610.999,62.0133,115.104,516.22,-63.0372,144.521,701.009,-152.331,85.5113,706.771,-226.848,102.334,718.411,-305.958,102.002
67,0,567.423,133.907,61.5202,671.557,91.6027,39.9692,491.114,103.938,121.448,667.187,45.8892,87.8323,610.999,62.0133,115.104,516.219,-63.04,144.541,701.008,-152.343,85.5047,706.767,-226.846,102.356,718.411,-305.958,102.002
68,0,567.422,133.891,61.5119,671.572,91.6055,39.9943,491.13,103.89,121.424,667.184,45.8692,87.8183,610.979,62.0007,115.09,516.17,-63.0395,144.552,701.016,-152.337,85.5224,706.78,-226.878,102.329,718.394,-305.956,102.11
69,0,567.419,133.884,61.5105,671.573,91.5999,39.995,491.147,103.907,121.469,667.204,45.8621,87.8108,610.996,61.9948,115.091,516.186,-63.0193,144.581,701.031,-152.312,85.5585,706.764,-226.871,102.379,718.412,-305.961,102.055
70,0,567.418,133.885,61.5084,671.574,91.5994,40.0256,491.133,103.914,121.513,667.208,45.9112,87.8367,610.996,61.9949,115.139,516.221,-63.0393,144.539,701.017,-152.277,85.5676,706.796,-226.853,102.405,718.434,-305.926,102.089
71,0,567.422,133.88,61.54,671.558,91.5814,39.9583,491.132,103.915,121.515,667.188,45.889,87.8252,610.978,62.001,115.138,516.22,-63.0389,144.541,701.031,-152.296,85.568,706.797,-226.837,102.326,718.467,-305.945,102.029
72,0,567.409,133.897,61.5665,671.548,91.5737,39.9366,491.138,103.856,121.449,667.207,45.8823,87.8228,610.96,61.9744,115.144,516.209,-63.0562,144.548,701.016,-152.319,85.4994,706.785,-226.875,102.346,718.433,-305.926,102.091
73,0,567.408,133.876,61.4804,671.548,91.5731,39.9374,491.102,103.865,121.466,667.204,45.8621,87.8108,610.978,62.0012,115.139,516.189,-63.0543,144.532,701.016,-152.335,85.523,706.775,-226.868,102.319,718.45,-305.937,102.084
74,0,567.392,133.876,61.5323,671.529,91.5744,39.919,491.119,103.89,121.477,667.187,45.9191,87.8491,610.978,62.0012,115.139,516.181,-63.0473,144.556,701.01,-152.294,85.5497,706.779,-226.863,102.34,718.449,-305.938,102.088
75,0,567.392,133.876,61.5323,671.535,91.5447,39.9312,491.133,103.856,121.477,667.182,45.8698,87.8237,610.978,62.0007,115.139,516.186,-63.0701,144.539,701.031,-152.312,85.5585,706.807,-226.842,102.41,718.466,-305.906,102.097
76,0,567.39,133.852,61.5407,671.56,91.5777,39.991,491.12,103.849,121.479,667.183,45.8699,87.8553,610.979,61.9713,115.118,516.206,-63.0738,144.563,701.031,-152.297,85.568,706.796,-226.856,102.383,718.483,-305.918,102.087
77,0,567.402,133.897,61.5916,671.549,91.5741,39.94,491.121,103.865,121.486,667.206,45.8831,87.8724,610.978,62.0012,115.139,516.203,-63.0499,144.569,701.026,-152.268,85.5858,706.804,-226.848,102.403,718.481,-305.918,102.063
78,0,567.386,133.884,61.5306,671.551,91.5709,39.972,491.124,103.834,121.453,667.204,45.8621,87.8108,610.978,62.0004,115.139,516.206,-63.049,144.543,701.031,-152.296,85.5675,706.807,-226.828,102.338,718.49,-305.909,102.112
79,0,567.391,133.851,61.5427,671.571,91.5667,40.0109,491.131,103.841,121.472,667.183,45.87,87.8587,610.976,61.9516,115.105,516.174,-63.081,144.527,701.032,-152.295,85.5675,706.8,-226.85,102.398,718.495,-305.939,102.103
80,0,567.387,133.879,61.5578,671.53,91.5464,39.9634,491.103,103.831,121.446,667.204,45.8623,87.8144,610.975,61.9822,115.125,516.193,-63.0958,144.508,701.026,-152.269,85.5846,706.806,-226.846,102.425,718.467,-305.946,102.06
81,0,567.384,133.873,61.5566,671.526,91.5706,39.9809,491.115,103.872,121.521,667.186,45.8895,87.8301,610.961,62.0071,115.138,516.188,-63.0464,144.59,701.021,-152.266,85.6171,706.806,-226.826,102.443,718.471,-305.936,102.114
